iter	Passed	Remaining
0	1	142
1	3	152
2	5	163
3	6	156
4	8	164
5	10	160
6	11	156
7	13	153
8	14	147
9	16	145
10	17	143
11	19	144
12	21	147
13	24	147
14	25	145
15	28	149
16	29	145
17	31	143
18	32	140
19	34	137
20	36	136
21	39	138
22	40	136
23	43	136
24	44	133
25	46	132
26	48	130
27	49	127
28	51	127
29	53	124
30	54	121
31	56	119
32	57	117
33	59	116
34	61	113
35	62	111
36	64	109
37	65	107
38	67	106
39	69	103
40	71	102
41	71	99
42	73	97
43	75	95
44	77	94
45	78	92
46	81	92
47	84	91
48	86	89
49	87	87
50	89	85
51	91	84
52	92	82
53	94	80
54	95	78
55	110	86
56	113	85
57	115	83
58	117	81
59	118	79
60	122	78
61	126	77
62	129	75
63	130	73
64	131	70
65	132	68
66	133	65
67	134	63
68	135	60
69	136	58
70	137	56
71	138	53
72	139	51
73	140	49
74	141	47
75	142	45
76	146	43
77	148	41
78	149	39
79	150	37
80	151	35
81	152	33
82	154	31
83	155	29
84	156	27
85	158	25
86	158	23
87	160	21
88	161	19
89	162	18
90	163	16
91	164	14
92	165	12
93	166	10
94	167	8
95	168	7
96	170	5
97	170	3
98	172	1
99	173	0
