iter	Passed	Remaining
0	143	142996
1	144	72130
2	145	48472
3	147	36628
4	148	29519
5	149	24773
6	150	21389
7	152	18852
8	153	16880
9	154	15303
10	157	14172
11	158	13082
12	160	12157
13	161	11358
14	162	10668
15	163	10062
16	164	9527
17	165	9054
18	167	8627
19	168	8249
20	169	7904
21	173	7706
22	174	7412
23	175	7152
24	177	6906
25	178	6680
26	179	6472
27	180	6278
28	182	6097
29	183	5925
30	185	5807
31	188	5702
32	190	5568
33	192	5458
34	193	5330
35	194	5208
36	195	5093
37	196	4985
38	198	4879
39	202	4867
40	205	4798
41	207	4724
42	209	4654
43	211	4584
44	212	4516
45	217	4502
46	218	4428
47	219	4356
48	220	4287
49	222	4218
50	223	4153
51	224	4092
52	225	4031
53	226	3972
54	227	3915
55	231	3901
56	232	3850
57	233	3798
58	235	3748
59	236	3701
60	237	3654
61	238	3608
62	239	3564
63	240	3523
64	242	3483
65	243	3446
66	246	3425
67	247	3389
68	248	3350
69	249	3314
70	250	3278
71	251	3243
72	252	3212
73	254	3180
74	255	3149
75	256	3120
76	257	3090
77	261	3095
78	263	3069
79	264	3042
80	265	3015
81	266	2987
82	268	2961
83	269	2935
84	270	2910
85	271	2890
86	276	2896
87	277	2878
88	279	2857
89	280	2839
90	282	2820
91	283	2798
92	284	2775
93	285	2755
94	287	2734
95	289	2729
96	292	2721
97	293	2702
98	294	2683
99	296	2664
100	297	2646
101	298	2628
102	299	2609
103	300	2590
104	301	2573
105	303	2556
106	307	2562
107	308	2547
108	309	2531
109	310	2515
110	311	2498
111	313	2483
112	314	2469
113	315	2455
114	317	2440
115	318	2425
116	320	2417
117	321	2403
118	322	2389
119	324	2376
120	325	2362
121	326	2349
122	327	2336
123	328	2323
124	330	2310
125	331	2297
126	334	2297
127	335	2284
128	336	2272
129	337	2260
130	339	2249
131	340	2237
132	341	2226
133	342	2214
134	343	2203
135	345	2192
136	346	2181
137	350	2187
138	351	2177
139	352	2167
140	354	2156
141	354	2142
142	355	2132
143	356	2121
144	358	2112
145	359	2102
146	360	2091
147	361	2082
148	363	2077
149	364	2067
150	366	2058
151	367	2049
152	369	2044
153	370	2035
154	372	2030
155	373	2019
156	376	2021
157	379	2022
158	381	2019
159	384	2018
160	386	2011
161	387	2004
162	388	1996
163	393	2005
164	394	1998
165	396	1992
166	397	1984
167	399	1977
168	400	1966
169	401	1959
170	407	1977
171	410	1974
172	411	1968
173	413	1961
174	414	1954
175	416	1947
176	417	1942
177	418	1932
178	418	1921
179	420	1914
180	421	1909
181	422	1898
182	423	1888
183	423	1880
184	425	1872
185	426	1865
186	426	1856
187	427	1846
188	428	1837
189	429	1831
190	430	1824
191	431	1817
192	433	1810
193	437	1815
194	438	1809
195	439	1803
196	440	1796
197	441	1789
198	443	1783
199	444	1777
200	444	1768
201	445	1759
202	446	1753
203	447	1744
204	447	1735
205	449	1731
206	452	1733
207	453	1725
208	454	1719
209	455	1713
210	456	1705
211	456	1698
212	457	1691
213	458	1685
214	459	1677
215	459	1669
216	460	1662
217	461	1654
218	463	1651
219	465	1650
220	466	1643
221	467	1637
222	467	1630
223	468	1622
224	469	1615
225	469	1609
226	471	1605
227	472	1600
228	473	1593
229	473	1586
230	474	1579
231	474	1572
232	476	1567
233	477	1562
234	481	1567
235	482	1563
236	484	1558
237	484	1551
238	485	1544
239	486	1540
240	487	1535
241	488	1530
242	489	1524
243	490	1518
244	490	1512
245	491	1506
246	494	1508
247	497	1507
248	497	1500
249	499	1498
250	500	1492
251	500	1486
252	501	1481
253	504	1482
254	506	1479
255	506	1473
256	510	1475
257	512	1472
258	513	1469
259	515	1466
260	526	1490
261	528	1488
262	529	1484
263	531	1481
264	532	1478
265	534	1474
266	536	1473
267	542	1480
268	547	1486
269	548	1483
270	550	1480
271	551	1476
272	553	1472
273	558	1479
274	559	1475
275	561	1471
276	562	1468
277	563	1464
278	565	1460
279	566	1457
280	568	1453
281	568	1448
282	574	1455
283	575	1452
284	577	1447
285	578	1444
286	580	1442
287	581	1437
288	582	1434
289	584	1430
290	590	1437
291	591	1434
292	593	1432
293	595	1428
294	595	1424
295	596	1419
296	597	1414
297	598	1410
298	603	1414
299	605	1412
300	606	1407
301	607	1403
302	608	1399
303	609	1395
304	610	1391
305	611	1387
306	613	1384
307	614	1380
308	619	1386
309	621	1382
310	623	1380
311	624	1376
312	625	1373
313	626	1368
314	627	1364
315	628	1360
316	634	1367
317	635	1363
318	636	1359
319	638	1357
320	639	1353
321	641	1349
322	642	1346
323	643	1342
324	649	1348
325	650	1345
326	652	1342
327	653	1338
328	654	1335
329	656	1332
330	657	1328
331	658	1324
332	662	1326
333	666	1328
334	667	1324
335	668	1320
336	669	1317
337	670	1313
338	671	1310
339	673	1306
340	674	1303
341	679	1306
342	680	1303
343	681	1300
344	682	1296
345	684	1293
346	685	1289
347	686	1286
348	687	1282
349	691	1284
350	693	1282
351	694	1279
352	696	1276
353	698	1274
354	700	1271
355	701	1269
356	702	1266
357	707	1269
358	708	1265
359	710	1262
360	711	1260
361	713	1257
362	714	1254
363	716	1251
364	717	1248
365	721	1250
366	724	1248
367	725	1246
368	727	1243
369	728	1240
370	730	1237
371	731	1234
372	732	1231
373	737	1233
374	739	1232
375	742	1231
376	744	1230
377	746	1227
378	747	1225
379	749	1222
380	754	1225
381	755	1222
382	756	1219
383	758	1216
384	759	1212
385	760	1209
386	761	1206
387	762	1203
388	764	1200
389	768	1201
390	769	1198
391	770	1195
392	771	1191
393	772	1188
394	774	1185
395	775	1182
396	776	1179
397	777	1176
398	784	1181
399	785	1178
400	787	1175
401	788	1172
402	789	1169
403	790	1166
404	792	1163
405	793	1160
406	794	1157
407	798	1158
408	799	1155
409	800	1152
410	802	1149
411	803	1146
412	804	1143
413	805	1140
414	807	1137
415	808	1134
416	809	1131
417	813	1132
418	814	1129
419	816	1126
420	817	1123
